lag,mean_abs_shap
t-0,0.1744009817911737
t-1,0.10152670400517128
t-3,0.09937436576246611
t-2,0.09896745497944202
t-4,0.06507408351468426
t-5,0.052570213480389955
t-6,0.03251574885662194
t-7,0.015887814470605752
t-8,0.0094613499122005
t-9,0.008168426559017795
t-11,0.002881736211115365
t-10,0.001854691807495102
t-13,0.0013148117922952532
t-15,0.0011250262007860092
t-12,0.0008418046382452231
t-24,0.0005525139598382708
t-54,0.0004967325192448695
t-28,0.0004680845178510071
t-16,0.00041897506821019415
t-49,0.00041743738889026384
t-32,0.0004112768597788512
t-35,0.00040539037976842774
t-17,0.0003542892268465189
t-19,0.0003480405636950623
t-25,0.00033625201950928887
t-56,0.00014588073789046586
t-18,0.0
t-26,0.0
t-20,0.0
t-21,0.0
t-22,0.0
t-23,0.0
t-14,0.0
t-59,0.0
t-27,0.0
t-58,0.0
t-57,0.0
t-55,0.0
t-53,0.0
t-52,0.0
t-51,0.0
t-50,0.0
t-48,0.0
t-47,0.0
t-46,0.0
t-45,0.0
t-44,0.0
t-43,0.0
t-42,0.0
t-41,0.0
t-40,0.0
t-39,0.0
t-38,0.0
t-37,0.0
t-36,0.0
t-34,0.0
t-33,0.0
t-31,0.0
t-30,0.0
t-29,0.0
